co_entidade,no_entidade,no_municipio,co_uf,qt_doc_bas_vinculo_concur,qt_doc_bas_vinculo_contra,doc_publicos_principais,perc_temporarios,doc_ept,tur_ept,qt_doc_bas_disc_profissiona
43046533,COL ESTADUAL DOM ANTONIO MACEDO COSTA,Ciríaco,43,12,12,24,0.5,14,2,0
43008976,INST EST ED IND ANGELO MANHKA MIGUEL,São Valério do Sul,43,9,9,18,0.5,18,8,0
43071082,ESC EST TEC AGR GUAPORE,Guaporé,43,6,6,12,0.5,12,7,3
43110061,INST EST EDUC SAO FRANCISCO XAVIER,Porto Xavier,43,19,18,37,0.4864864864864865,13,5,4
43150748,INST ESTADUAL SAO JOSE,Soledade,43,19,18,37,0.4864864864864865,10,1,0
43171273,ESC EST ENS MED ARROIO DO TIGRE,Arroio do Tigre,43,16,15,31,0.4838709677419355,4,1,4
43071910,ESC EST ED BAS ALBINO FANTIN,Horizontina,43,14,13,27,0.48148148148148145,8,2,8
43150047,ESC EST ED BAS PADRE BENJAMIM COPETTI,Sobradinho,43,22,20,42,0.47619047619047616,25,8,0
43156428,ESC EST ENS MED JOSE QUARTIERO,Torres,43,11,10,21,0.47619047619047616,12,1,0
43123686,INST EST EDUC OLAVO BILAC,Santa Maria,43,40,36,76,0.47368421052631576,21,7,0
43105580,INST ESTADUAL DOM DIOGO DE SOUZA,Porto Alegre,43,30,27,57,0.47368421052631576,30,13,12
43160999,INST EST EDUC MAE DE DEUS,Tupanciretã,43,20,18,38,0.47368421052631576,17,5,5
43045170,ESC EST ED BAS EUGENIO FRANTZ,Cerro Largo,43,10,9,19,0.47368421052631576,14,2,0
43124950,INST EST EDUC PROF LIBERATO SALZANO V DA CUNHA,Sant'Ana do Livramento,43,21,18,39,0.46153846153846156,20,8,0
43110630,ESC EST ED BAS SAO FRANCISCO,Progresso,43,14,12,26,0.46153846153846156,14,2,0
43125492,ESC EST ENS MED PROF CHAVES,Sant'Ana do Livramento,43,14,12,26,0.46153846153846156,14,1,0
43054480,INST EST EDUC MONSENHOR SCALABRINI,Encantado,43,27,23,50,0.46,49,13,6
43033466,ESC EST ENS MED CAMPINAS DO SUL,Campinas do Sul,43,13,11,24,0.4583333333333333,23,4,7
43072135,INST EST EDUC MARIA CRISTINA CIEP,Humaitá,43,13,11,24,0.4583333333333333,36,8,0
43107583,INST EST EDUC GENERAL FLORES DA CUNHA,Porto Alegre,43,45,38,83,0.4578313253012048,29,10,0
43128246,COL ESTADUAL MONSENHOR ASSIS,Santiago,43,18,15,33,0.45454545454545453,15,1,0
43104495,ESC EST ENS MED SAO GABRIEL,Ametista do Sul,43,16,13,29,0.4482758620689655,17,2,0
43076637,INST EST EDUC VISCONDE DE TAUNAY,Iraí,43,16,13,29,0.4482758620689655,29,3,0
43141617,ESC TECNICA EST CRUZEIRO DO SUL,São Luiz Gonzaga,43,15,12,27,0.4444444444444444,27,13,12
43104568,INST EST EDUC PADRE VITORIO,Planalto,43,19,15,34,0.4411764705882353,16,2,0
43041612,COL ESTADUAL CATUIPE,Catuípe,43,18,14,32,0.4375,3,1,3
43037399,ESC TECNICA EST CANGUCU,Canguçu,43,22,17,39,0.4358974358974359,34,15,14
43056830,ESC EST NORMAL JOSE BONIFACIO,Erechim,43,35,27,62,0.43548387096774194,29,7,0
43117600,ESC EST ED BAS ERICO VERISSIMO,Roque Gonzales,43,17,13,30,0.43333333333333335,15,2,0
